,Count,Train Accuracy 1,Test Accuracy 1,Train Time 1,Train Accuracy 2,Test Accuracy 2,Train Recall 2,Test Recall 2,Train Time 2
0,0.05,0.8643790849673203,0.5571428571428572,0.08408117294311523,0.9992977528089888,0.9980691592066,0.0,0.0,0.0043032169342041016
1,0.1,0.6718367346938775,0.5563265306122449,0.28522396087646484,0.9982443820224719,0.9980691592066,0.16666666666666666,0.09090909090909091,0.007880926132202148
2,0.15000000000000002,0.5658324265505985,0.5538775510204081,0.712954044342041,0.9976591760299626,0.9984202211690363,0.2,0.2727272727272727,0.01256108283996582
3,0.2,0.5142857142857142,0.5493877551020409,1.435865879058838,0.9980688202247191,0.9984202211690363,0.3333333333333333,0.36363636363636365,0.017925262451171875
4,0.25,0.4402351404310908,0.5412244897959184,2.8157639503479004,0.9978932584269663,0.9982446901878181,0.5,0.45454545454545453,0.023099899291992188
5,0.3,0.411156462585034,0.5228571428571429,4.176827907562256,0.9985955056179775,0.9982446901878181,0.5263157894736842,0.45454545454545453,0.02240896224975586
6,0.35000000000000003,0.4027518656716418,0.5134693877551021,6.188941955566406,0.9983948635634029,0.9980691592066,0.4090909090909091,0.45454545454545453,0.036240339279174805
7,0.4,0.3863265306122449,0.4946938775510204,8.839370012283325,0.9988588483146067,0.9987712831314727,0.45454545454545453,0.5454545454545454,0.035218238830566406
8,0.45,0.3646589259796807,0.4820408163265306,11.547850847244263,0.9984394506866417,0.9987712831314727,0.5,0.45454545454545453,0.04194784164428711
9,0.5,0.3562448979591837,0.45755102040816326,14.573351860046387,0.998314606741573,0.9984202211690363,0.4,0.45454545454545453,0.04490995407104492
10,0.55,0.350549124369249,0.44857142857142857,16.622318744659424,0.998404085541015,0.9985957521502545,0.45454545454545453,0.36363636363636365,0.061097145080566406
11,0.6000000000000001,0.3436734693877551,0.43387755102040815,19.763088941574097,0.9980104160571127,0.9982446901878181,0.4418604651162791,0.36363636363636365,0.06295084953308105
12,0.6500000000000001,0.3321612457616476,0.41551020408163264,22.971803903579712,0.9981094366121104,0.9980691592066,0.4358974358974359,0.36363636363636365,0.07263588905334473
13,0.7000000000000001,0.3313119533527697,0.39755102040816326,28.37197184562683,0.9979936800922907,0.9984202211690363,0.3902439024390244,0.45454545454545453,0.10132002830505371
14,0.7500000000000001,0.3197649107531563,0.39755102040816326,31.577136039733887,0.9984551285052198,0.9984202211690363,0.4666666666666667,0.36363636363636365,0.08271217346191406
15,0.8,0.31755102040816324,0.3706122448979592,35.50418257713318,0.9983761246434057,0.9984202211690363,0.43478260869565216,0.45454545454545453,0.0944831371307373
16,0.8500000000000001,0.3147027753769327,0.35959183673469386,40.586087226867676,0.9987194844892395,0.9984202211690363,0.574468085106383,0.45454545454545453,0.09087800979614258
17,0.9000000000000001,0.3129251700680272,0.34448979591836737,47.632189989089966,0.9985565481995865,0.9982446901878181,0.5370370370370371,0.36363636363636365,0.11890506744384766
18,0.9500000000000001,0.31079223234232684,0.31551020408163266,53.859561920166016,0.9985955575267029,0.9978936282253817,0.5636363636363636,0.2727272727272727,0.1276719570159912
19,1.0,0.30726530612244896,0.2987755102040816,60.08898901939392,0.9984199992977775,0.9982446901878181,0.5084745762711864,0.45454545454545453,0.13956189155578613
